celltype,design,gene,lfc,padj
Oligo,~pmi + grp,ECM2,1.028,0.20824189741144358
Oligo,~arm + grp,CD74,2.2045,0.01377622283512765
Oligo,~arm + grp,EPHA3,2.0683,0.0490792804909762
Oligo,~arm + grp,PTPRR,-1.3159,0.05575708249198704
Oligo,~arm + grp,VSTM4,-0.7368,0.04875664946828374
Oligo,~arm + grp,ECM2,1.3058,0.027424805613149014
Oligo,~arm + pmi + grp,CD74,2.3926,0.02389265447019057
Oligo,~arm + pmi + grp,EPHA3,1.9971,0.16167675686712504
Oligo,~arm + pmi + grp,PTPRR,-1.3616,0.13623954751884534
Oligo,~arm + pmi + grp,VSTM4,-0.712,0.17450583551601684
Oligo,~arm + pmi + grp,ECM2,1.0226,0.2884689091328729
Oligo,~sex + arm + pmi + grp,CD74,2.0957,0.9999612938120216
Oligo,~sex + arm + pmi + grp,EPHA3,1.508,0.9999612938120216
Oligo,~sex + arm + pmi + grp,PTPRR,-1.4781,0.9999612938120216
Oligo,~sex + arm + pmi + grp,VSTM4,-0.6753,0.9999612938120216
Oligo,~sex + arm + pmi + grp,ECM2,0.7353,0.9999612938120216
Oligo,~logncell + grp,CD74,2.254,0.005301325083721486
Oligo,~logncell + grp,EPHA3,2.2457,0.01934407619470671
Oligo,~logncell + grp,PTPRR,-1.307,0.005941269181977638
Oligo,~logncell + grp,VSTM4,-0.7701,0.02619283244541442
Oligo,~logncell + grp,ECM2,1.3039,0.018041730568352978
OPC,~grp,AZGP1,2.9227,0.00663077856243763
OPC,~grp,FGF13,-1.2755,0.008031414291783324
OPC,~grp,COL4A2,1.6199,0.03319349828336184
OPC,~grp,FSTL5,-1.6348,0.0676906345430413
OPC,~grp,NID2,-1.7677,0.07666676877467804
OPC,~grp,ADAMTSL3,-1.3071,0.08168195660429622
OPC,~pmi + grp,AZGP1,2.7704,0.09210369906960338
OPC,~pmi + grp,FGF13,-1.2619,0.08943098631455842
OPC,~pmi + grp,COL4A2,2.1088,0.0014741533176249638
OPC,~pmi + grp,FSTL5,-1.9619,0.08108430968364282
OPC,~pmi + grp,NID2,-1.5817,0.488714954610835
OPC,~pmi + grp,ADAMTSL3,-0.8552,0.7925252584104912
OPC,~arm + grp,AZGP1,2.7456,0.017278954386079688
OPC,~arm + grp,FGF13,-1.2412,0.017137185182638133
OPC,~arm + grp,COL4A2,1.6214,0.04704414262526518
OPC,~arm + grp,FSTL5,-1.5029,0.1188126171028956
OPC,~arm + grp,NID2,-1.7839,0.10679577201882055
OPC,~arm + grp,ADAMTSL3,-1.3872,0.056560997120879225
OPC,~arm + pmi + grp,AZGP1,2.4849,0.2401544068245836
OPC,~arm + pmi + grp,FGF13,-1.2323,0.13701543175094877
OPC,~arm + pmi + grp,COL4A2,2.0951,0.002721703782808586
OPC,~arm + pmi + grp,FSTL5,-1.8314,0.14555111783981414
OPC,~arm + pmi + grp,NID2,-1.5987,0.6130208715800246
OPC,~arm + pmi + grp,ADAMTSL3,-0.9366,0.8094643248872259
OPC,~sex + arm + pmi + grp,AZGP1,1.8741,0.9998531265723574
OPC,~sex + arm + pmi + grp,FGF13,-1.3518,0.7283828775747927
OPC,~sex + arm + pmi + grp,COL4A2,2.3756,0.27072417976579943
OPC,~sex + arm + pmi + grp,FSTL5,-2.0076,0.7444443340110891
OPC,~sex + arm + pmi + grp,NID2,-0.7751,0.9998531265723574
OPC,~sex + arm + pmi + grp,ADAMTSL3,-0.6167,0.9998531265723574
OPC,~logncell + grp,AZGP1,2.8974,0.011824833219215847
OPC,~logncell + grp,FGF13,-1.3248,0.004403426426045784
OPC,~logncell + grp,COL4A2,1.7628,0.03017397028057952
OPC,~logncell + grp,FSTL5,-1.4332,0.17056966082934955
OPC,~logncell + grp,NID2,-1.2416,0.34130249834896176
OPC,~logncell + grp,ADAMTSL3,-1.2516,0.16397251141701694
Endo,~grp,PRSS3,-2.5641,0.0001546039700225603
Endo,~grp,APOD,3.2495,0.0011647169710452693
Endo,~grp,PLAT,-1.8122,0.001513847479822923
