celltype,gene,baseMean,lfc_frozen,lfc_MLE,lfcSE_MLE,lfc_shrunk,lfcSE_shrunk,padj,shrink_ratio,shrink_converged,lfc_shrunk_altparam,shrink_converged_altparam,altparam_absdiff,lfc_shrunk_repaired,ratio_repaired,z,failed
OPC,COL4A2,17.494315897436316,1.6198140625854685,1.6198554548858797,0.4094126173783612,1.379166295285443,0.4238989731615121,0.0331934982833618,0.8514131869763695,True,1.3775690626287664,True,0.0015972326566768,1.379166295285443,0.8514131869763693,3.956535255944201,False
OPC,FSTL5,11.471202780452376,-1.6348048547359946,-1.6347642261841306,0.4395639338356368,-1.354988406245098,0.4616151203581219,0.0676906345430413,0.8288586112554678,True,-1.356665193851667,True,0.001676787606569,-1.356665193851667,0.8298843173357158,3.7190590499979623,False
OPC,NID2,11.271676407314107,-1.7677392156292209,-1.767693656976426,0.4895348300767758,-1.4471739705542546,0.5135934165347419,0.076666768774678,0.8186791669714941,True,-1.449180820501892,True,0.0020068499476373,-1.449180820501892,0.8198144598089816,3.6109660607789467,False
OPC,ADAMTSL3,11.851465447079915,-1.307142434361901,-1.3071074841088932,0.3655792500786236,-0.0132428688441428,0.0493763253626501,0.0816819566042962,0.010131430662851,True,-1.062566796752455,True,1.0493239279083122,-1.062566796752455,0.8129146299524471,3.575442216230213,True
Endo,PRSS3,7.7619944924617155,-2.5640517021464504,-2.56405696223073,0.4613479242552101,-2.38824696109962,0.4714158532613672,0.0001546039700225,0.931432880111152,True,-2.389434036501001,True,0.0011870754013809,-2.389434036501001,0.931895847751445,5.5577511622493745,False
Endo,APOD,100.42809034816476,3.249502109979514,3.2495027682387327,0.6417570267975532,2.9727441759718065,0.6611306328483144,0.0011647169710452,0.9148304796130602,True,0.0208950077945638,True,2.9518491681772425,2.9727441759718065,0.9148304796130602,5.063447118692494,True
Endo,PLAT,28.921052297015898,-1.812252354302444,-1.8122436384928584,0.3646243680128297,-1.6514959572425525,0.3721648978013222,0.0015138474798229,0.9112990782056264,True,-1.6533415775870846,True,0.001845620344532,-1.6533415775870846,0.9123174955449568,4.9701660050024214,False
Endo,KDR,26.75852120114405,-1.3610607713674383,-1.3610726346679292,0.3196467610686153,-1.1864738868676374,0.3345123467284211,0.0194444207585977,0.8717197426844969,True,-1.1875987316266603,True,0.0011248447590228,-1.1875987316266603,0.8725461826042865,4.2580523266299,False
Endo,LAMA4,59.26188519594386,-1.0804878720275344,-1.0804977867160863,0.2727684627531982,-0.920552958202534,0.2838525658914841,0.0496299971424789,0.8519711650685872,True,-0.9221584622575878,True,0.0016055040550537,-0.9221584622575878,0.8534570580290286,3.961226953475645,False
Endo,KITLG,40.18818331835438,-1.779164578823372,-1.7791758541038374,0.4595255465222514,-0.0334378116835182,0.0888802141168284,0.0643461457351624,0.0187939891418775,True,-1.4948464778972073,True,1.461408666213689,-1.4948464778972073,0.840190403016769,3.8717670161514843,True
Endo,EFEMP1,8.090866216943843,2.821709541393209,2.8217092569024667,0.7335502060595438,2.38235388302488,0.7457315984932065,0.0677456926759524,0.8442945981047355,True,0.0186793321521792,True,2.363674550872701,2.38235388302488,0.8442945981047355,3.846647759885467,True
Endo,DKK2,3.628174234157049,4.449372714745588,4.449372428788679,1.1681764072917502,4.655484025564407,1.36206071592194,0.0752351336761296,1.0463237456685193,True,4.663046191028784,True,0.0075621654643764,4.655484025564407,1.0463237456685193,3.808818942940229,False
Endo,MMP28,7.244103296913396,-1.667261039633398,-1.6672506174523047,0.4418154702495077,-0.0352393723563292,0.0989542662405402,0.0758508870235629,0.0211362179071661,True,-1.3886769517037418,True,1.3534375793474125,-1.3886769517037418,0.8329143424314659,3.773635668553556,True
Endo,APP,182.68158211177752,-0.618694110636891,-0.61869058868704,0.1663837316294865,-0.513802620686264,0.1736003518596812,0.0810009249242123,0.8304678139304416,True,-0.5149245075366741,True,0.00112188685041,-0.5149245075366741,0.8322811385080642,3.7184560210776985,False
Endo,EDN3,11.126516235830882,-1.7988895325751288,-1.7988976405758412,0.4853417447240971,-0.029992015287509,0.0875273751015352,0.0820064537481749,0.0166724412834898,True,-1.478960108887062,True,1.448968093599553,-1.478960108887062,0.8221480063833067,3.7064556266398703,True
