oid_a,oid_b,same_group,n_agree,n_markers,full_agreement
11,16,False,7,7,True
11,17,False,7,7,True
11,18,False,7,7,True
11,19,False,7,7,True
11,20,False,7,7,True
11,21,True,7,7,True
11,22,True,7,7,True
11,23,False,7,7,True
11,24,False,7,7,True
11,25,False,7,7,True
11,26,False,7,7,True
11,27,False,7,7,True
11,28,False,7,7,True
11,29,False,7,7,True
11,30,False,7,7,True
11,31,False,7,7,True
11,32,False,7,7,True
11,33,True,7,7,True
11,34,False,7,7,True
11,35,False,7,7,True
11,36,False,7,7,True
11,37,False,7,7,True
11,38,False,7,7,True
11,39,True,7,7,True
12,13,False,7,7,True
12,14,False,7,7,True
12,15,False,7,7,True
12,16,False,7,7,True
12,17,False,7,7,True
12,18,False,7,7,True
12,19,False,7,7,True
12,20,False,7,7,True
12,21,False,7,7,True
12,22,False,7,7,True
12,23,False,7,7,True
12,24,False,7,7,True
12,25,False,7,7,True
12,26,True,7,7,True
12,27,False,7,7,True
12,28,True,7,7,True
12,29,False,7,7,True
12,30,True,7,7,True
12,31,False,7,7,True
12,32,False,7,7,True
12,33,False,7,7,True
12,34,True,7,7,True
12,35,False,7,7,True
12,36,False,7,7,True
12,37,False,7,7,True
12,38,False,7,7,True
12,39,False,7,7,True
13,14,True,7,7,True
13,15,False,7,7,True
13,16,False,7,7,True
13,17,False,7,7,True
13,18,False,7,7,True
13,19,False,7,7,True
13,20,False,7,7,True
13,21,False,7,7,True
13,22,False,7,7,True
13,23,False,7,7,True
13,24,True,7,7,True
13,25,True,7,7,True
13,26,False,7,7,True
13,27,False,7,7,True
13,28,False,7,7,True
13,29,False,7,7,True
13,30,False,7,7,True
13,31,False,7,7,True
13,32,True,7,7,True
13,33,False,7,7,True
13,34,False,7,7,True
13,35,True,7,7,True
13,36,False,7,7,True
13,37,True,7,7,True
13,38,True,7,7,True
13,39,False,7,7,True
14,15,False,7,7,True
14,16,False,7,7,True
14,17,False,7,7,True
14,18,False,7,7,True
14,19,False,7,7,True
14,20,False,7,7,True
14,21,False,7,7,True
14,22,False,7,7,True
14,23,False,7,7,True
14,24,True,7,7,True
14,26,False,7,7,True
14,27,False,7,7,True
14,28,False,7,7,True
14,29,False,7,7,True
14,30,False,7,7,True
14,31,False,7,7,True
14,32,True,7,7,True
14,33,False,7,7,True
14,34,False,7,7,True
14,35,True,7,7,True
14,36,False,7,7,True
14,37,True,7,7,True
14,38,True,7,7,True
14,39,False,7,7,True
15,16,True,7,7,True
15,17,True,7,7,True
15,18,True,7,7,True
15,19,True,7,7,True
15,20,True,7,7,True
15,21,False,7,7,True
15,22,False,7,7,True
15,23,False,7,7,True
15,24,False,7,7,True
15,25,False,7,7,True
15,26,False,7,7,True
15,27,False,7,7,True
15,28,False,7,7,True
15,29,False,7,7,True
15,30,False,7,7,True
15,31,False,7,7,True
15,32,False,7,7,True
15,33,False,7,7,True
15,34,False,7,7,True
15,35,False,7,7,True
15,36,False,7,7,True
15,37,False,7,7,True
15,38,False,7,7,True
15,39,False,7,7,True
16,17,True,7,7,True
16,18,True,7,7,True
16,19,True,7,7,True
16,20,True,7,7,True
16,21,False,7,7,True
16,22,False,7,7,True
16,23,False,7,7,True
16,24,False,7,7,True
16,25,False,7,7,True
16,26,False,7,7,True
16,27,False,7,7,True
16,28,False,7,7,True
16,29,False,7,7,True
16,30,False,7,7,True
16,31,False,7,7,True
16,32,False,7,7,True
16,33,False,7,7,True
16,34,False,7,7,True
16,35,False,7,7,True
16,36,False,7,7,True
16,37,False,7,7,True
16,38,False,7,7,True
16,39,False,7,7,True
17,18,True,7,7,True
17,19,True,7,7,True
17,20,True,7,7,True
17,21,False,7,7,True
17,22,False,7,7,True
17,23,False,7,7,True
17,24,False,7,7,True
17,25,False,7,7,True
17,26,False,7,7,True
17,27,False,7,7,True
17,28,False,7,7,True
17,29,False,7,7,True
17,30,False,7,7,True
17,31,False,7,7,True
17,32,False,7,7,True
17,33,False,7,7,True
17,34,False,7,7,True
17,35,False,7,7,True
17,36,False,7,7,True
17,37,False,7,7,True
17,38,False,7,7,True
17,39,False,7,7,True
18,19,True,7,7,True
18,20,True,7,7,True
18,21,False,7,7,True
18,22,False,7,7,True
18,23,False,7,7,True
18,24,False,7,7,True
18,25,False,7,7,True
18,26,False,7,7,True
18,27,False,7,7,True
18,28,False,7,7,True
18,29,False,7,7,True
18,30,False,7,7,True
18,31,False,7,7,True
18,32,False,7,7,True
18,33,False,7,7,True
18,34,False,7,7,True
18,35,False,7,7,True
18,36,False,7,7,True
18,37,False,7,7,True
18,38,False,7,7,True
18,39,False,7,7,True
19,20,True,7,7,True
19,21,False,7,7,True
19,22,False,7,7,True
19,23,False,7,7,True
19,24,False,7,7,True
19,25,False,7,7,True
19,26,False,7,7,True
19,27,False,7,7,True
19,28,False,7,7,True
19,29,False,7,7,True
19,30,False,7,7,True
19,31,False,7,7,True
19,32,False,7,7,True
19,33,False,7,7,True
19,34,False,7,7,True
19,35,False,7,7,True
19,36,False,7,7,True
19,37,False,7,7,True
19,38,False,7,7,True
19,39,False,7,7,True
20,21,False,7,7,True
20,22,False,7,7,True
20,23,False,7,7,True
20,24,False,7,7,True
20,25,False,7,7,True
20,26,False,7,7,True
20,27,False,7,7,True
20,28,False,7,7,True
20,29,False,7,7,True
20,30,False,7,7,True
20,31,False,7,7,True
20,32,False,7,7,True
20,33,False,7,7,True
20,34,False,7,7,True
20,35,False,7,7,True
20,36,False,7,7,True
20,37,False,7,7,True
20,38,False,7,7,True
20,39,False,7,7,True
21,22,True,7,7,True
21,23,False,7,7,True
21,24,False,7,7,True
21,25,False,7,7,True
21,26,False,7,7,True
21,27,False,7,7,True
21,28,False,7,7,True
21,29,False,7,7,True
21,30,False,7,7,True
21,31,False,7,7,True
21,32,False,7,7,True
21,33,True,7,7,True
21,34,False,7,7,True
21,35,False,7,7,True
21,36,False,7,7,True
21,37,False,7,7,True
21,38,False,7,7,True
21,39,True,7,7,True
22,23,False,7,7,True
22,24,False,7,7,True
22,25,False,7,7,True
22,26,False,7,7,True
22,27,False,7,7,True
22,28,False,7,7,True
22,29,False,7,7,True
22,30,False,7,7,True
22,31,False,7,7,True
22,32,False,7,7,True
22,33,True,7,7,True
22,34,False,7,7,True
22,35,False,7,7,True
22,36,False,7,7,True
22,37,False,7,7,True
22,38,False,7,7,True
22,39,True,7,7,True
23,24,False,7,7,True
23,25,False,7,7,True
23,26,False,7,7,True
23,27,True,7,7,True
23,28,False,7,7,True
23,29,True,7,7,True
23,30,False,7,7,True
23,31,True,7,7,True
23,32,False,7,7,True
23,33,False,7,7,True
23,34,False,7,7,True
23,35,False,7,7,True
23,36,True,7,7,True
23,37,False,7,7,True
23,38,False,7,7,True
23,39,False,7,7,True
24,25,True,7,7,True
24,26,False,7,7,True
24,27,False,7,7,True
24,28,False,7,7,True
24,29,False,7,7,True
24,30,False,7,7,True
24,31,False,7,7,True
24,32,True,7,7,True
24,33,False,7,7,True
24,34,False,7,7,True
24,35,True,7,7,True
24,36,False,7,7,True
24,37,True,7,7,True
24,38,True,7,7,True
24,39,False,7,7,True
25,26,False,7,7,True
25,27,False,7,7,True
25,28,False,7,7,True
25,29,False,7,7,True
25,30,False,7,7,True
25,31,False,7,7,True
25,32,True,7,7,True
25,33,False,7,7,True
25,34,False,7,7,True
25,35,True,7,7,True
25,36,False,7,7,True
25,37,True,7,7,True
25,38,True,7,7,True
25,39,False,7,7,True
26,27,False,7,7,True
26,28,True,7,7,True
26,29,False,7,7,True
26,30,True,7,7,True
26,31,False,7,7,True
26,32,False,7,7,True
26,33,False,7,7,True
26,34,True,7,7,True
26,35,False,7,7,True
26,36,False,7,7,True
26,37,False,7,7,True
26,38,False,7,7,True
26,39,False,7,7,True
27,28,False,7,7,True
27,29,True,7,7,True
27,30,False,7,7,True
27,31,True,7,7,True
27,32,False,7,7,True
27,33,False,7,7,True
27,34,False,7,7,True
27,35,False,7,7,True
27,36,True,7,7,True
27,37,False,7,7,True
27,38,False,7,7,True
