EntrezGeneSymbol,Estimate
ARFIP2,0.0009278203984192889
ARG2,3.321199295355126e-05
ARHGAP1,0.004164566689268177
ARHGAP22,-5.685204167443657e-05
ARHGAP24,2.783112466644095e-05
ARHGAP25,0.00136900793725564
ARHGAP26,-0.0001884120309953669
ARHGAP30,0.001648950587693947
ARHGAP36,0.0001473474854466551
ARHGAP45,-0.0009496117868221819
ARHGAP5,0.0009479284358601927
ARHGAP6,-0.0001065114881282694
ARHGDIA,-0.0001775800076526049
ARHGDIB,0.00453780603153807
ARHGEF1,-0.0009152696332730026
ARHGEF10,0.00100992424784701
ARHGEF16,0.000103644256505286
ARHGEF2,-0.001103325948110235
ARHGEF25,0.0004544496211869713
ARHGEF7,5.261456167126678e-05
ARID1A,-0.001050338262738764
ARID3A,-0.0002889225021632903
ARID3C,-0.0009971541262414486
ARL1,0.001488967844747168
ARL11,0.001668989732921718
ARL15,0.0003572009877759864
ARL2,0.004545330117436575
ARL2BP,0.0004176217286729209
ARL3,-0.000919204315410145
ARL4D,0.001307080579710402
ARL5A,-0.0005952697871328857
ARL5B,0.0006868968210885808
ARL6,0.001799113031229889
ARL6IP1,0.0004298450447321217
ARL6IP5,-0.001021682047820415
ARL8A,-0.0008035193447564452
ARL8B,3.472009427690613e-05
ARL9,-5.151368343993942e-05
ARMC10,0.0003744599865096565
ARMC3,-6.105262908836456e-05
ARMC5,-0.0001052764702061852
ARMC8,-5.308891890395415e-05
ARNT,0.000645444690543407
ARPC1B,0.007992228294044515
ARPC2,0.0002067701214901141
ARPC3,0.001272115492877359
ARPC5,0.0004135371209048
ARPP19,-0.0002218108981256034
ARPP21,-0.0001733977500398797
ARRB1,0.002420158609349
ARRDC3,0.0002306405236160076
ARRDC5,-0.0002053240803555211
ARSA,0.0002447807452412185
ARSB,-0.0009658297022596877
ARSK,-0.001696955285123046
ART3,0.004389969432199557
ART4,0.0008470575538075926
ART5,-9.411300633944954e-05
ARTN,0.0004361528552939948
AS3MT,0.0003761247628186039
ASAH1,-0.0008222517727723801
ASAH2,0.0001006452579449757
ASAP2,0.00187013877063956
ASAP3,0.0001641001961886318
ASB13,0.000854632179829199
ASB8,-0.0001776934791569904
ASB9,0.007822037146880824
ASCC1,0.001525955458496219
ASCC2,0.0002658031728935851
