gene,Beta
CRELD1,0.163717545447764
CRIP1,0.00632532719823657
CRIP2,1.00739037843046
CRK,-0.986864206149088
CRKL,-0.211740869322425
CRMP1,1.698035704810395
CRNS1,-0.109749634014851
CROCC,-0.2950435632366
CRTAC1,0.0902679153603294
CRTC1,-0.00309867013367062
CRYAB,-0.707641861094881
CRYL1,-1.32062735137816
CRYM,1.10903331416683
CRYZ,0.000218
CRYZL1,0.622512805666743
CS,0.97116735926021
CSDE1,-0.31246016427449
CSE1L,-0.705200225375793
CSK,-0.311581272429497
CSNK1D,-0.522673190983554
CSNK1G2,-0.160818862028918
CSNK2A1,0.886694887506515
CSNK2A2,0.190439623042598
CSNK2B,-0.0516157312127908
CSPG5,0.303247516057885
CSRP1,-1.86811684551784
CST3,-0.221228442347764
CSTB,-0.920850960661002
CSTF2,0.5296986683325
CTBP1,1.55273403329173
CTBP2,-0.0955889609742373
CTNNA2,0.870463360739593
CTNNB1,1.86739995193428
CTNND1,0.658527184752766
CTNND2,0.815400420604038
CTPS1,-0.428644744696024
CTSA,0.029652809559044
CTSB,-0.800767127560541
CTSD,-1.05693133701186
CTSZ,-0.317605720797139
CTTN,1.28286502231292
CTTNBP2,0.121055219034162
CUL1,-0.133974014796018
CUL2,-0.209176858159896
CUL3,1.11402369339735
CUL4A,0.340272381816319
CUL4B,-0.62877283284287
CUL5,-1.58199228636234
CUTA,-0.526777651621695
CXADR,0.19475800229308976
CYB5A,-0.0788340528290031
CYB5B,-0.155932606640988
CYB5R1,1.14628805166255
CYB5R2,-0.145322388726536
CYB5R3,-0.166291905774703
CYBRD1,-0.6083250738945
CYC1,0.624796512312075
CYCS,0.499013810536941
CYFIP1,-0.391189649988583
CYFIP2,1.97641748146396
CYLD,0.261704448601586
CYP46A1,0.457631224391441
CYSTM1,0.281917783316886
CYTH1,0.115271511748671
D2HGDH,0.134280792298345
DAAM1,-0.118573515131019
DAAM2,-0.354824069690807
DAB2IP,-0.207958906897607
DAG1,-0.182858433052815
DAK,-0.392534305925424
DARS,-1.62783900009095
DARS2,0.0532259247571932
DAZAP1,-0.605755928678909
DBI,-1.79654460182128
DBN1,1.25555970214131
DBNL,0.607631992045824
DBT,1.45297662885966
DCAKD,0.0774841608365567
DCLK1,1.98938550358568
DCLK2,1.27869030103067
DCPS,-0.438376196702292
DCTN1,-1.1899505182109
DCTN2,-1.28835959260546
DCTN3,0.239007448472318
DCTN4,0.315800573925407
DCTN5,0.352674395287781
DCTN6,0.0900564601442973
DCUN1D1,-0.538127958378186
DCXR,-0.153487505927301
DDAH1,-1.61751443252594
DDAH2,-1.65356006817344
DDB1,0.591167518413029
DDHD2,-0.24172001210098
DDI2,0.170991116191957
DDOST,0.350734443084498
DDRGK1,-0.730436868975836
DDT,-0.643822575122807
DDX1,-3.62221908884871
DDX17,-2.32246099691767
DDX19A,-0.462209256387391
DDX39B,-1.0062607155158
DDX3X,-0.51506031055865
DDX5,-0.211933782546863
DDX6,0.219773364384639
DECR1,-0.497035100080764
DENND4B,-0.320152901440529
DENR,0.00926446771128353
DEPDC1,1.13827313449152
DFFA,-0.290938108973935
DFNA5,-0.110716869950139
DGKB,1.26369299266347
DGKE,-0.0389495892395144
DGKG,-0.155179215965653
DGKI,0.390362371508225
DGKQ,-0.025232097944188
DGKZ,0.194778692694982
DGUOK,-0.0783729060620045
DHRS11,-0.130538129280106
DHRS7,-0.233779200436324
DHX15,-0.679488150610333
DHX30,-0.40617420013579
DHX36,-0.01549317866733
DHX9,-1.92290153385635
DIABLO,0.654054134626282
DIAPH1,-0.37755753693797
DIAPH2,0.0591810899516228
DIP2B,-0.0687904172107035
