tf,group,rel,cpm,celltype
RELA,YA,34,68.828522039481,Astro
RELA,YA,49,71.18971381705,Astro
RELA,YA,59,71.0452041272046,Astro
IRF1,YA,-196,324.345429296715,Astro
IRF1,YA,-163,304.601572736458,Astro
NFKB1,YA,-151,84.7880824000613,Astro
NFKB1,YA,10,121.397324276873,Astro
NFKB1,YA,-38,68.6752291190706,Astro
NFKB1,YA,109,93.9500382562442,Astro
NFKB1,YA,-132,87.0567738895824,Astro
NFKB1,YA,-148,87.546721762496,Astro
NFKB1,YA,6,112.22505757474,Astro
NFKB1,YA,39,102.483805933536,Astro
NFKB1,YA,53,86.3578205953308,Astro
NFKB1,YA,85,85.2916094968248,Astro
NFKB1,YA,91,90.0763110763282,Astro
NFKB1,YA,124,91.1978899386038,Astro
TEAD4,YA,196,45.0435660309183,Astro
TEAD1,YA,72,48.0114016635484,Astro
TEAD1,YA,189,48.9197438194261,Astro
RELA,YA,-174,60.5874790404289,Astro
NFKB1,YA,-174,85.1551487300649,Astro
RELA,YA,-168,61.6917569741136,Astro
NFKB1,YA,-168,83.0621742047662,Astro
RELA,YA,80,68.9791205707971,Astro
NFKB1,YA,80,80.3583698358953,Astro
RELA,YA,110,67.5459881817582,Astro
NFKB1,YA,110,86.0101328960637,Astro
RELA,YA,114,62.8310758501953,Astro
NFKB1,YA,114,89.2818566004053,Astro
RELA,YA,176,61.6472935323238,Astro
IRF1,YA,-189,316.827327361401,Astro
RELA,YA,195,63.2969175339572,Astro
NFKB1,YA,195,85.8315371029158,Astro
IRF1,YA,-170,301.27088202086,Astro
IRF1,YA,-134,365.718117185334,Astro
IRF1,YA,-81,344.738212592382,Astro
IRF1,YA,-42,419.665814686023,Astro
IRF1,YA,-30,399.20292890963,Astro
IRF1,YA,-18,266.512729244465,Astro
IRF1,YA,-11,113.867039378467,Astro
IRF1,YA,6,104.45588679924,Astro
IRF1,YA,7,89.814324771806,Astro
IRF1,YA,18,307.074613857975,Astro
IRF1,YA,19,341.915785258413,Astro
IRF1,YA,27,403.22944702297,Astro
IRF1,YA,38,408.058736826824,Astro
IRF1,YA,62,379.519461408891,Astro
IRF1,YA,68,371.856996758811,Astro
IRF1,YA,75,378.235950566613,Astro
IRF1,YA,81,368.489836010265,Astro
IRF1,YA,87,370.645548744743,Astro
IRF1,YA,97,363.450535657064,Astro
IRF1,YA,105,374.290327681464,Astro
IRF1,YA,108,376.256679330027,Astro
IRF1,YA,123,390.547979982759,Astro
IRF1,YA,125,390.074604031842,Astro
IRF1,YA,143,392.958465296511,Astro
IRF1,YA,148,397.657102328882,Astro
IRF1,YA,149,391.039085019002,Astro
IRF1,YA,150,392.519852689347,Astro
IRF1,YA,152,382.87715852964,Astro
IRF1,YA,154,376.826831597253,Astro
IRF1,YA,157,366.449387314774,Astro
IRF1,YA,167,359.125656368284,Astro
IRF1,YA,169,357.354385858574,Astro
IRF1,YA,172,358.814281327318,Astro
IRF1,YA,179,362.422501038796,Astro
IRF1,YA,192,386.743335694137,Astro
IRF1,YA,194,392.080861936612,Astro
IRF1,YA,-56,365.617605022801,Astro
STAT3,YA,-173,88.5704030094758,Astro
STAT3,YA,-194,86.0777695745364,Astro
IRF1,YA,200,386.125536351514,Astro
STAT3,YA,55,110.465505408237,Astro
STAT3,YA,34,114.29425066827,Astro
STAT3,YA,123,100.99052311256,Astro
STAT3,YA,102,103.38838122963,Astro
STAT3,YA,67,103.533999714142,Astro
STAT3,YA,168,100.614615639488,Astro
NFKB1,YA,79,99.8105695974355,Astro
NFKB1,YA,156,86.3482276715734,Astro
NFKB1,YA,158,91.6595317234762,Astro
NFKB1,YA,191,87.0460792072863,Astro
NFKB1,YA,-104,80.1333992064735,Astro
NFKB1,YA,-32,88.1498372979945,Astro
NFKB1,YA,87,90.806192678085,Astro
NFKB1,YA,145,95.8288214930579,Astro
RELA,YA,-196,58.0705850086787,Astro
RELA,YA,-191,58.8962480349397,Astro
RELA,YA,-184,59.93798026509,Astro
RELA,YA,-149,64.5430065546299,Astro
RELA,YA,-88,66.1579300089008,Astro
RELA,YA,-21,73.7760698594508,Astro
RELA,YA,-14,67.6310194927787,Astro
RELA,YA,9,41.2984365763714,Astro
RELA,YA,121,68.2315673981736,Astro
RELA,YA,132,64.3203904538539,Astro
RELA,YA,133,64.3812627949451,Astro
RELA,YA,171,65.0786582145372,Astro
RELA,YA,199,62.1799010978693,Astro
STAT3,YA,-167,88.0424439782408,Astro
STAT3,YA,-131,95.8668034295201,Astro
STAT3,YA,-129,98.8379004430143,Astro
STAT3,YA,-124,99.1894485052314,Astro
STAT3,YA,-119,94.1708028238717,Astro
STAT3,YA,-94,102.955827227433,Astro
STAT3,YA,-92,101.130869770359,Astro
STAT3,YA,-84,103.330113476455,Astro
STAT3,YA,-79,102.838712537913,Astro
STAT3,YA,-77,107.726531281493,Astro
STAT3,YA,-65,110.496337971497,Astro
STAT3,YA,-51,99.7428843514076,Astro
STAT3,YA,-44,110.293611206068,Astro
STAT3,YA,-30,111.168125013591,Astro
STAT3,YA,-29,112.28596764646,Astro
STAT3,YA,-13,73.3541432356045,Astro
STAT3,YA,5,79.7632217540095,Astro
STAT3,YA,11,73.2463853688168,Astro
STAT3,YA,21,114.139880781989,Astro
STAT3,YA,39,107.374036096578,Astro
STAT3,YA,44,110.370075921166,Astro
STAT3,YA,45,111.448480861669,Astro
STAT3,YA,77,108.276656041864,Astro
STAT3,YA,87,105.233701910804,Astro
STAT3,YA,101,107.769919544855,Astro
STAT3,YA,119,110.155303467916,Astro
STAT3,YA,126,103.679614988858,Astro
STAT3,YA,129,101.255405435261,Astro
STAT3,YA,136,100.70024284987,Astro
STAT3,YA,145,97.700955865467,Astro
STAT3,YA,165,98.722747580259,Astro
STAT3,YA,167,98.8663611460785,Astro
STAT3,YA,171,99.053790950843,Astro
STAT3,YA,181,99.1299452904066,Astro
STAT3,YA,183,102.037440963823,Astro
STAT3,YA,197,100.046610994832,Astro
RELA,YA,-166,61.7332235309497,Astro
RELA,YA,-135,64.357250090343,Astro
RELA,YA,-138,63.4515910869255,Astro
RELA,YA,-37,65.8600433544615,Astro
NFKB1,YA,38,85.8889433593004,Astro
NFKB1,YA,102,82.9578162809703,Astro
RELA,YA,101,71.8277815983068,Astro
NFKB1,YA,183,82.6145770961268,Astro
STAT3,YA,-59,108.768110189335,Astro
STAT3,YA,-38,113.256894795698,Astro
STAT3,YA,-17,107.04943524208,Astro
STAT3,YA,-192,90.4800024399959,Astro
STAT3,YA,23,111.96899062375,Astro
STAT3,YA,-152,89.8875219732802,Astro
STAT3,YA,56,109.778422354288,Astro
STAT3,YA,-182,90.5527422546516,Astro
STAT3,YA,190,97.1047077684163,Astro
STAT3,YA,15,106.983519845704,Astro
STAT3,YA,-48,107.548040115854,Astro
STAT3,YA,200,96.833840228825,Astro
STAT3,YA,25,115.589512609976,Astro
STAT3,YA,179,98.7175553252415,Astro
STAT3,YA,-197,91.6995428299604,Astro
STAT3,YA,-196,90.891940596932,Astro
STAT3,YA,-193,89.7012545339133,Astro
STAT3,YA,-189,91.1483386000142,Astro
STAT3,YA,-174,90.2273623378533,Astro
STAT3,YA,-164,93.7037699646066,Astro
STAT3,YA,-161,91.8595046292672,Astro
STAT3,YA,-156,93.6256054437814,Astro
STAT3,YA,-149,90.6488272458516,Astro
STAT3,YA,-136,92.3593002014689,Astro
STAT3,YA,-135,96.803044336817,Astro
STAT3,YA,-130,94.6045464039962,Astro
STAT3,YA,-110,98.4787689566193,Astro
STAT3,YA,-95,101.886759711229,Astro
STAT3,YA,-69,107.867457381633,Astro
STAT3,YA,-49,102.883039958318,Astro
STAT3,YA,-26,120.113565122404,Astro
STAT3,YA,-3,41.9585799517073,Astro
STAT3,YA,0,184.644090995293,Astro
STAT3,YA,10,97.5253313430601,Astro
STAT3,YA,20,114.289887582615,Astro
STAT3,YA,35,117.379608407806,Astro
STAT3,YA,76,107.292225349748,Astro
STAT3,YA,103,105.796167961158,Astro
STAT3,YA,110,100.013535119364,Astro
STAT3,YA,115,107.763139678147,Astro
STAT3,YA,185,97.0674289508783,Astro
RELA,YA,-165,60.1121399611025,Astro
RELA,YA,127,69.8824877583947,Astro
STAT3,YA,-103,97.3116086849272,Astro
STAT3,YA,-50,101.553158787955,Astro
STAT3,YA,-25,118.772959088342,Astro
STAT3,YA,51,110.845779348918,Astro
STAT3,YA,65,107.970081438343,Astro
STAT3,YA,121,108.220750301628,Astro
STAT3,YA,-187,91.1385575388669,Astro
STAT3,YA,139,99.5019944938803,Astro
STAT3,YA,143,98.6029412735387,Astro
STAT3,YA,170,100.108281502052,Astro
STAT3,YA,177,99.6215507943659,Astro
RELA,YA,-31,70.4963665187981,Astro
RELA,YA,181,60.7576235281566,Astro
RELA,YA,-150,62.6989776577933,Astro
RELA,YA,-39,68.7786215741063,Astro
NFKB1,YA,-177,82.3436954549703,Astro
NFKB1,YA,-87,82.0517824831176,Astro
NFKB1,YA,-68,83.3557122520695,Astro
NFKB1,YA,-53,79.5066095197676,Astro
NFKB1,YA,-21,86.5453619168722,Astro
NFKB1,YA,7,83.6100454452622,Astro
NFKB1,YA,45,83.3361148008336,Astro
NFKB1,YA,52,83.7936864680586,Astro
NFKB1,YA,54,93.1394345997933,Astro
NFKB1,YA,75,76.6810355100245,Astro
NFKB1,YA,94,92.9506130073009,Astro
NFKB1,YA,108,89.0158482330885,Astro
NFKB1,YA,119,88.7389678461549,Astro
CEBPB,YA,-199,10.6115223157902,Astro
CEBPB,YA,-197,10.1097349553475,Astro
CEBPB,YA,-173,10.2761549555185,Astro
CEBPB,YA,-167,10.2447885403738,Astro
CEBPB,YA,-145,12.3996699155405,Astro
CEBPB,YA,-143,11.5938305742248,Astro
CEBPB,YA,-133,11.4589608149075,Astro
CEBPB,YA,-132,10.8091306525381,Astro
CEBPB,YA,-131,10.1301952452185,Astro
CEBPB,YA,-128,10.6478114057122,Astro
CEBPB,YA,-127,11.2060657413587,Astro
CEBPB,YA,-126,9.88944118287272,Astro
CEBPB,YA,-116,10.6262579378939,Astro
