tf,donor,group,center_n,flank_n,win_n,dtot,n,fp_depth,access,celltype
NFKB1,35,HA,12320,77709,153957,5255558,28431,-0.046815994782693,1.03035876817687,Micro
NFKB1,37,HA,7309,45563,90373,3091660,28431,-0.0636224599083201,1.02814611029983,Micro
NFKB1,39,YA,136,812,1652,50506,28431,-0.101877527835631,1.15046903278396,Micro
NFKB1,43,YA,4558,27594,54650,2091254,28431,-0.105389598234623,0.919160274749001,Micro
NFKB1,44,HA,21435,132179,263087,6855626,28431,-0.0794443861944032,1.34977113405641,Micro
NFKB1,45,YA,5867,36725,72571,2338594,28431,-0.0576368390918088,1.09148090191506,Micro
NFKB1,47,YA,1368,8094,16014,707422,28431,-0.135995240716447,0.796212748699174,Micro
RELA,2,YA,10632,79797,155904,5236538,33990,0.203353401120074,0.875914738325881,Micro
RELA,7,YA,6017,44981,88270,3188248,33990,0.19723484699756,0.814535217006935,Micro
RELA,11,HA,27344,200293,391634,18429984,33990,0.168620216607782,0.625178833194303,Micro
RELA,14,HA,7745,58368,113954,3978834,33990,0.209046598026179,0.842602201186295,Micro
RELA,15,HA,17269,128881,252087,8866712,33990,0.195439897461803,0.836443639352325,Micro
RELA,16,HA,10800,80119,156597,6795224,33990,0.186595609017665,0.677998129497732,Micro
RELA,28,HA,6421,48367,94704,5067918,33990,0.208202266666149,0.549778280643781,Micro
RELA,29,YA,6426,48878,95591,3594340,33990,0.222184144437998,0.782432144717974,Micro
RELA,30,YA,6719,49433,96816,2842424,33990,0.174383212730582,1.002090879761,Micro
RELA,32,HA,5533,40983,80223,3108088,33990,0.18390949136225,0.759371734248606,Micro
RELA,35,HA,7810,57276,112424,5255558,33990,0.169885125456762,0.629345361114248,Micro
RELA,37,HA,4560,33655,65975,3091660,33990,0.178558635091766,0.627821966959913,Micro
RELA,39,YA,74,606,1213,50506,33990,0.239950792720753,0.706588657880805,Micro
RELA,43,YA,2758,19868,38596,2091254,33990,0.143205604856748,0.542980644268132,Micro
RELA,44,HA,13288,98066,192395,6855626,33990,0.179220753434712,0.825649076662894,Micro
RELA,45,YA,3564,26748,52244,2338594,33990,0.20220642483565,0.657249743209956,Micro
RELA,47,YA,891,6007,11828,707422,33990,0.0475071035644106,0.491905399298806,Micro
STAT3,2,YA,12687,109306,212272,5236538,65070,0.402077376931931,0.622970735201405,Micro
STAT3,7,YA,7439,62238,120940,3188248,65070,0.359275216823752,0.58295772490801,Micro
STAT3,11,HA,33049,278141,539250,18429984,65070,0.368817489584983,0.449660137407148,Micro
STAT3,14,HA,8718,75554,146458,3978834,65070,0.410154951367815,0.56568735646941,Micro
STAT3,15,HA,19486,166847,323922,8866712,65070,0.393452958674297,0.561431836621136,Micro
STAT3,16,HA,12753,109469,212111,6795224,65070,0.39675569744407,0.479709818142748,Micro
STAT3,28,HA,8039,69994,135783,5067918,65070,0.416733072361481,0.411751332934204,Micro
STAT3,29,YA,8001,66883,129808,3594340,65070,0.35814387353702,0.555010878872528,Micro
STAT3,30,YA,7474,67685,130122,2842424,65070,0.473196183155885,0.703527473321049,Micro
STAT3,32,HA,6303,54032,104642,3108088,65070,0.393993634643666,0.517406545289296,Micro
STAT3,35,HA,9630,79812,155996,5255558,65070,0.345992843421796,0.456156452424724,Micro
STAT3,37,HA,5580,45996,90001,3091660,65070,0.337485405673144,0.447378182762279,Micro
STAT3,39,YA,94,818,1663,50506,65070,0.324553979831851,0.506020915575805,Micro
STAT3,43,YA,3287,28412,55242,2091254,65070,0.404320224794731,0.405958652369181,Micro
STAT3,44,HA,15641,130875,254986,6855626,65070,0.360138178766098,0.571594988268001,Micro
STAT3,45,YA,4279,38086,73054,2338594,65070,0.447117355197119,0.480074195111337,Micro
STAT3,47,YA,1007,8642,16692,707422,65070,0.386877409093425,0.362617707196939,Micro
TEAD1,2,YA,7016,49681,97656,5236538,41242,0.119451940959838,0.452183753183368,Micro
TEAD1,7,YA,4142,28989,56813,3188248,41242,0.102351636205279,0.432071786789109,Micro
TEAD1,11,HA,19074,132198,259802,18429984,41242,0.0888657869721495,0.341804529778009,Micro
TEAD1,14,HA,4812,34370,67454,3978834,41242,0.131615985914483,0.411066580175567,Micro
TEAD1,15,HA,10400,74251,146043,8866712,41242,0.131437336490385,0.399372746843414,Micro
TEAD1,16,HA,7508,52206,102776,6795224,41242,0.0933268043183758,0.366731500729131,Micro
TEAD1,28,HA,4871,34321,67576,5067918,41242,0.112100276445942,0.323313012350547,Micro
TEAD1,29,YA,4530,31993,63144,3594340,41242,0.115399402302852,0.425964313148599,Micro
TEAD1,30,YA,4102,29378,57587,2842424,41242,0.13534561124697,0.491242434684125,Micro
TEAD1,32,HA,3544,25175,49472,3108088,41242,0.123491208402246,0.385945910433821,Micro
TEAD1,35,HA,5620,38650,76309,5255558,41242,0.0773956000700776,0.352060426796143,Micro
TEAD1,37,HA,3199,22814,44826,3091660,41242,0.12901588379308,0.351559260121842,Micro
TEAD1,39,YA,52,372,746,50506,41242,0.0858523229638434,0.358142726205822,Micro
TEAD1,43,YA,2064,14285,28057,2091254,41242,0.0857215479421783,0.325307989491636,Micro
TEAD1,44,HA,8609,60839,119427,6855626,41242,0.116660207352398,0.422392003625947,Micro
TEAD1,45,YA,2541,18036,35336,2338594,41242,0.121969810440181,0.366372474067046,Micro
TEAD1,47,YA,641,4450,8774,707422,41242,0.0873027863295386,0.300731797712905,Micro
TEAD4,2,YA,6427,47273,92551,5236538,40964,0.173993481945322,0.431453999036188,Micro
TEAD4,7,YA,3751,27725,54112,3188248,40964,0.18042416265635,0.414323085762519,Micro
TEAD4,11,HA,17506,126616,248086,18429984,40964,0.150270480905591,0.328605585550982,Micro
TEAD4,14,HA,4428,32608,63916,3978834,40964,0.175328316726958,0.39214926936161,Micro
TEAD4,15,HA,9451,70645,138204,8866712,40964,0.197428293303513,0.380500869083367,Micro
TEAD4,16,HA,7076,50419,98814,6795224,40964,0.128408230884913,0.354986914919203,Micro
TEAD4,28,HA,4488,33098,64903,5067918,40964,0.177431542810064,0.31263157232162,Micro
TEAD4,29,YA,4242,30630,60169,3594340,40964,0.14709208224969,0.408649790085373,Micro
TEAD4,30,YA,3728,27519,53975,2842424,40964,0.17854330895354,0.463555173181495,Micro
