"ligand","pearson","z","pct","perm_p","perm_padj","is_aging_up_secretome_ligand","receiver"
"RECK",0.0269225222129254,NA,0.897226753670473,0.00249875062468766,0.0193732247800151,FALSE,"Astro"
"MATN1",0.0267054703897359,NA,0.896411092985318,0.000999500249875062,0.014576045310678,FALSE,"Astro"
"PDGFB",0.0266535284920659,NA,0.895595432300163,0.00349825087456272,0.0217530828494382,FALSE,"Astro"
"F2",0.0265745429221902,NA,0.894779771615008,0.015992003998001,0.0362781572176874,FALSE,"Astro"
"AREG",0.0265574821543547,NA,0.893964110929853,0.00199900049975012,0.0174912543728136,FALSE,"Astro"
"NPB",0.0265249357331112,NA,0.893148450244698,0.00149925037481259,0.0162529354791631,FALSE,"Astro"
"ADAM29",0.0264364195590307,NA,0.892332789559543,0.00349825087456272,0.0217530828494382,FALSE,"Astro"
"LRP1B",0.0264306969151723,NA,0.891517128874388,0.00399800099950025,0.0226738482610547,FALSE,"Astro"
"SFRP1",0.0263717289817017,NA,0.890701468189233,0.00249875062468766,0.0193732247800151,FALSE,"Astro"
"PRSS55",0.0263019389121422,NA,0.889885807504078,0.00299850074962519,0.0204064634349492,FALSE,"Astro"
"CFD",0.0263003690585463,NA,0.889070146818923,0.00199900049975012,0.0174912543728136,FALSE,"Astro"
"IGSF10",0.0262906039269596,NA,0.888254486133768,0.00199900049975012,0.0174912543728136,FALSE,"Astro"
"CD200",0.0261830525989641,NA,0.887438825448613,0.00249875062468766,0.0193732247800151,FALSE,"Astro"
"SCGB1A1",0.0261367911148517,NA,0.886623164763458,0.00149925037481259,0.0162529354791631,FALSE,"Astro"
"QRFP",0.0261231120814846,NA,0.885807504078303,0.00149925037481259,0.0162529354791631,FALSE,"Astro"
"GAS6",0.0261045927972405,NA,0.884991843393148,0.00249875062468766,0.0193732247800151,FALSE,"Astro"
"COL5A3",0.0260827980784232,NA,0.884176182707993,0.00149925037481259,0.0162529354791631,FALSE,"Astro"
"EDIL3",0.026059332551698,NA,0.883360522022839,0.00199900049975012,0.0174912543728136,FALSE,"Astro"
"SIGLEC9",0.0260592931823338,NA,0.882544861337684,0.000999500249875062,0.014576045310678,FALSE,"Astro"
"CFAP54",0.0260129471237885,NA,0.881729200652529,0.00299850074962519,0.0204064634349492,FALSE,"Astro"
"NMS",0.0259902508087739,NA,0.880913539967374,0.00199900049975012,0.0174912543728136,FALSE,"Astro"
"NPFF",0.0259456609304506,NA,0.880097879282219,0.00149925037481259,0.0162529354791631,FALSE,"Astro"
"SEMA4F",0.0258934608377869,NA,0.879282218597064,0.00199900049975012,0.0174912543728136,FALSE,"Astro"
"IL17C",0.0257488099441065,NA,0.878466557911909,0.00449775112443778,0.0229572713643178,FALSE,"Astro"
"COL7A1",0.0257449068945712,NA,0.877650897226754,0.00199900049975012,0.0174912543728136,FALSE,"Astro"
"PPY",0.0256683849610849,NA,0.876835236541599,0.00199900049975012,0.0174912543728136,FALSE,"Astro"
"CLEC2L",0.0256356084216699,NA,0.876019575856444,0.00199900049975012,0.0174912543728136,FALSE,"Astro"
"PYY",0.0256129809813704,NA,0.875203915171289,0.00199900049975012,0.0174912543728136,FALSE,"Astro"
"PATJ",0.0255831683625377,NA,0.874388254486134,0.00199900049975012,0.0174912543728136,FALSE,"Astro"
"BMP5",0.0255380104822555,NA,0.873572593800979,0.00199900049975012,0.0174912543728136,FALSE,"Astro"
"YARS1",0.0253396602042898,NA,0.872756933115824,0.00249875062468766,0.0193732247800151,FALSE,"Astro"
"LVRN",0.0252502319896699,NA,0.871941272430669,0.00349825087456272,0.0217530828494382,FALSE,"Astro"
"ORM1",0.0252259017212764,NA,0.871125611745514,0.00149925037481259,0.0162529354791631,FALSE,"Astro"
"BMP4",0.0251665554895918,NA,0.870309951060359,0.00649675162418791,0.0252651452051752,FALSE,"Astro"
"CXCL14",0.0251460716780148,NA,0.869494290375204,0.00199900049975012,0.0174912543728136,FALSE,"Astro"
"FNDC5",0.025132905457309,NA,0.868678629690049,0.00149925037481259,0.0162529354791631,FALSE,"Astro"
"TNFSF13B",0.0251232295299698,NA,0.867862969004894,0.00399800099950025,0.0226738482610547,FALSE,"Astro"
"CLDN19",0.0251125131918154,NA,0.867047308319739,0.00249875062468766,0.0193732247800151,FALSE,"Astro"
"IL36B",0.0250883784580974,NA,0.866231647634584,0.00399800099950025,0.0226738482610547,FALSE,"Astro"
"IGSF11",0.0250356896884615,NA,0.865415986949429,0.00349825087456272,0.0217530828494382,FALSE,"Astro"
"CDCP1",0.0249844800060539,NA,0.864600326264274,0.00199900049975012,0.0174912543728136,FALSE,"Astro"
"S100A8",0.0249687340910165,NA,0.863784665579119,0.00249875062468766,0.0193732247800151,FALSE,"Astro"
"SIGLEC15",0.0249489381504467,NA,0.862969004893964,0.00149925037481259,0.0162529354791631,FALSE,"Astro"
"PCDHA4",0.0248923638682487,NA,0.862153344208809,0.00249875062468766,0.0193732247800151,FALSE,"Astro"
"VEGFA",0.0248832995900195,NA,0.861337683523654,0.00699650174912544,0.0261302275691423,FALSE,"Astro"
