motif,mapped_gene,family,celltype,dz,cv_p,cv_padj,is_foreground
POU3F3,POU3F3,homeobox-other,Astro,-0.0689671262824223,0.562917999247634,0.979336604887158,False
POU3F4,POU3F4,homeobox-other,Astro,-0.151893284135064,0.174275093531863,0.979336604887158,False
POU4F1,POU4F1,homeobox-other,Astro,-0.083352029568167,0.454715068387805,0.979336604887158,False
POU4F3,POU4F3,homeobox-other,Astro,-0.0981097590466121,0.389635573160951,0.979336604887158,False
POU5F1B,POU5F1B,homeobox-other,Astro,-0.148024710781192,0.162420607643309,0.979336604887158,False
POU6F2,POU6F2,homeobox-other,Astro,-0.148839968385356,0.451344035916776,0.979336604887158,False
PROX1,PROX1,homeobox-other,Astro,0.0154365502179125,0.837609586950198,0.988226009019425,False
RFX2,RFX2,RFX,Astro,0.290577070690099,0.115740733342315,0.979336604887158,False
SMAD3,SMAD3,SMAD,Astro,-0.0452772052012497,0.56343584690275,0.979336604887158,False
TGIF1,TGIF1,other,Astro,-0.0637218218787353,0.616296019472911,0.979336604887158,False
TGIF2,TGIF2,other,Astro,-0.0601638474813273,0.644071963774232,0.979336604887158,False
RFX4,RFX4,RFX,Astro,0.320306693127939,0.0775131463949436,0.979336604887158,False
RFX5,RFX5,RFX,Astro,0.302338906525196,0.118100818147789,0.979336604887158,False
RUNX2,RUNX2,RUNX,Astro,-0.0002733413950435,0.996360206043212,0.997936725356572,False
EOMES,EOMES,other,Astro,-0.0082619771226226,0.941537501649601,0.995976016570843,False
MGA,MGA,other,Astro,-0.051506770983666,0.702587999479099,0.979336604887158,False
TBR1,TBR1,other,Astro,-0.0424722195601022,0.712542804999771,0.979336604887158,False
TBX15,TBX15,other,Astro,-0.051506770983666,0.702587999479099,0.979336604887158,False
TBX19,TBX19,other,Astro,-0.106190888048328,0.204723445366093,0.979336604887158,False
TBX1,TBX1,other,Astro,-0.0465597668205092,0.664466875366366,0.979336604887158,False
TBX4,TBX4,other,Astro,-0.0651282947801115,0.657979714841319,0.979336604887158,False
TBX5,TBX5,other,Astro,-0.0651282947801115,0.657979714841319,0.979336604887158,False
TEAD3,TEAD3,TEAD,Astro,0.170915163213116,0.122896763651748,0.979336604887158,False
TFAP2A(var.2),TFAP2A,other,Astro,-0.0289870947931321,0.822097212340055,0.981315537512654,False
TFAP2B,TFAP2B,other,Astro,-0.0675880597979155,0.612395111694235,0.979336604887158,False
TFAP2B(var.2),TFAP2B,other,Astro,0.0489042594443489,0.707849908591709,0.979336604887158,False
TFAP2B(var.3),TFAP2B,other,Astro,-0.0570382919546059,0.644654283836885,0.979336604887158,False
TFAP2C,TFAP2C,other,Astro,-0.0500514887797385,0.708797727241759,0.979336604887158,False
TFAP2C(var.3),TFAP2C,other,Astro,-0.0395023091048142,0.741221809767298,0.979336604887158,False
BHLHE40,BHLHE40,bHLH-neural,Astro,0.0129769140715739,0.890346764283976,0.988541523911787,False
BHLHE23,BHLHE23,bHLH-neural,Astro,-0.195007181591767,0.165816196311495,0.979336604887158,False
BHLHE22,BHLHE22,bHLH-neural,Astro,-0.185438808969109,0.126563269451813,0.979336604887158,False
CLOCK,CLOCK,bHLH-other,Astro,-0.0818676258174243,0.311113744397588,0.979336604887158,False
FIGLA,FIGLA,other,Astro,-0.0095797461480971,0.954335458883449,0.995976016570843,False
HES5,HES5,bHLH-neural,Astro,-0.0049703450317872,0.937453131809836,0.995976016570843,False
HES7,HES7,bHLH-neural,Astro,0.0142283069387237,0.82409553817948,0.981315537512654,False
HEY1,HEY1,bHLH-neural,Astro,0.0202270494534729,0.850283274856794,0.988541523911787,False
MAX,MAX,bHLH-other,Astro,0.0004329797642415,0.995820698605755,0.997936725356572,False
MNT,MNT,bHLH-other,Astro,-0.0099101505166472,0.914612250110203,0.992613754768314,False
OLIG1,OLIG1,bHLH-neural,Astro,-0.177205250780493,0.170170756384347,0.979336604887158,False
OLIG3,OLIG3,bHLH-neural,Astro,-0.158186962946951,0.227146764520651,0.979336604887158,False
SREBF2(var.2),SREBF2,bHLH-other,Astro,0.111079605616607,0.309509126205687,0.979336604887158,False
ATF7,ATF7,other,Astro,0.114077358971293,0.516664635030188,0.979336604887158,False
CEBPB,CEBPB,CEBP,Astro,0.163756779207196,0.0944790635892654,0.979336604887158,False
CEBPE,CEBPE,CEBP,Astro,0.167906828214395,0.0792350212765651,0.979336604887158,False
CEBPG,CEBPG,CEBP,Astro,0.179886898257045,0.0960035873647752,0.979336604887158,False
CREB3L1,CREB3L1,other,Astro,0.0075684778268109,0.924426800448655,0.995173749462582,False
NFE2,NFE2,other,Astro,0.504143544253204,0.278860366077056,0.979336604887158,False
TEF,TEF,other,Astro,-0.0154176512833424,0.88380771777977,0.988541523911787,False
XBP1,XBP1,other,Astro,0.0545852573580844,0.550741969508724,0.979336604887158,False
FOXB1,FOXB1,FOX,Astro,-0.0172740348866157,0.91734446530721,0.992613754768314,False
FOXC1,FOXC1,FOX,Astro,0.0054666270399517,0.968994224130238,0.995976016570843,False
FOXC2,FOXC2,FOX,Astro,0.0462423807689693,0.731152040331222,0.979336604887158,False
FOXO4,FOXO4,FOX,Astro,0.0032002904168574,0.981068438697591,0.995976016570843,False
FOXO6,FOXO6,FOX,Astro,0.0032002904168574,0.981068438697591,0.995976016570843,False
FOXP3,FOXP3,FOX,Astro,0.0032002904168574,0.981068438697591,0.995976016570843,False
RXRB,RXRB,NR,Astro,-0.011057175022428,0.899760329788649,0.991149663849938,False
RXRG,RXRG,NR,Astro,-0.0611419899166523,0.499824201246812,0.979336604887158,False
TP63,TP63,TP53fam,Astro,-0.0196023546330762,0.575869397360152,0.979336604887158,False
TP53,TP53,TP53fam,Astro,0.0021107898319407,0.968109798453125,0.995976016570843,False
TP73,TP73,TP53fam,Astro,-0.0133886246174403,0.819542619542284,0.981315537512654,False
GMEB2,GMEB2,other,Astro,0.0847908917530504,0.309941293981772,0.979336604887158,False
MTF1,MTF1,other,Astro,-0.0829248154223938,0.313742810613518,0.979336604887158,False
E2F1,E2F1,E2F-DP,Astro,0.0115817199436445,0.774251054919,0.979336604887158,False
E2F8,E2F8,E2F-DP,Astro,-0.0147176313503362,0.866003082633399,0.988541523911787,False
SOX21,SOX21,SOX,Astro,-0.018273644887738,0.805033860800547,0.979336604887158,False
TFAP2A(var.3),TFAP2A,other,Astro,-0.0668878642298383,0.573151797043345,0.979336604887158,False
ELK1,ELK1,ETS,Astro,-0.106414611077726,0.393932591697623,0.979336604887158,False
HOXD12,HOXD12,HOX,Astro,-0.0456810672693028,0.462451474634979,0.979336604887158,False
BARX1,BARX1,other,Astro,-0.0749034024381307,0.486207982367487,0.979336604887158,False
BSX,BSX,other,Astro,-0.111904527076066,0.543536548269834,0.979336604887158,False
DLX6,DLX6,homeobox-other,Astro,-0.0195168598519757,0.867883672806425,0.988541523911787,False
DUXA,DUXA,other,Astro,-0.0433615558939078,0.646828580331285,0.979336604887158,False
EMX2,EMX2,homeobox-other,Astro,-0.141787945126364,0.484736136368711,0.979336604887158,False
