gene	celltype	frozen_direction	frozen_log2FC	baseMean	betaConv	HA_YA_LFC_coef	AD_HA_LFC_coef	AD_YA_LFC_coef	coefficient_identity_error	HA_YA_LFC_raw	AD_HA_LFC_raw	AD_YA_LFC_raw	results_identity_error	HA_YA_LFC_ashr	AD_HA_LFC_ashr	AD_YA_LFC_ashr	A_raw	D_raw	T_raw_sum	T_raw_direct	raw_identity_error	A	D	T_class	T_direct_shrunk	T_discrepancy	delta_final	category_margin_D_minus_delta	aging_projection_status	trajectory_category	trajectory_subflag	trajectory_category_rawLFC	pvalue_HA_YA	padj_HA_YA	pvalue_AD_HA	padj_AD_HA	pvalue_AD_YA	padj_AD_YA
ANTXR2	Astro	UP	0.668945664071461	149.237694870066	True	0.675356887209866	0.361817770359495	1.03717465756936	0.0	0.675356887209866	0.361817770359495	1.03717465756936	0.0	0.405452839237742	0.22194322631979	0.910968609876031	0.675356887209866	0.361817770359495	1.037174657569361	1.03717465756936	-1.1102230246251565e-15	0.405452839237742	0.22194322631979	0.627396065557532	0.910968609876031	0.283572544318499	0.25	-0.028056773680210007	eligible	maintained		amplified	0.0003983649288306	0.0500459400118091	0.0524070443064101	0.223356920535957	1.58993699165163e-07	4.04954773777791e-05
PAPPA2	Astro	UP	0.667457614526354	62.2851450523303	True	0.679672050238283	-1.07369081846903	-0.394018768230747	0.0	0.679672050238283	-1.07369081846903	-0.394018768230747	0.0	0.242380971124736	-0.857740957660165	-0.204405601989348	0.679672050238283	-1.07369081846903	-0.3940187682307469	-0.394018768230747	-1.1102230246251565e-16	0.242380971124736	-0.857740957660165	-0.615359986535429	-0.204405601989348	0.410954384546081			weak_indeterminate	weak_indeterminate_aging_projection		AD_divergent	0.0039971257727368	0.160565482121657	1.01636828818308e-05	0.0013708083139676	0.124690558186151	0.347407452409366
TAFA1	Astro	DOWN	-1.03040444019477	393.186346890965	True	-1.01670197712781	-0.143833423188722	-1.16053540031653	0.0	-1.01670197712781	-0.143833423188722	-1.16053540031653	0.0	-0.313326831754377	-0.046574272445306	-0.733438099926743	1.01670197712781	0.143833423188722	1.160535400316532	1.16053540031653	-1.9984014443252818e-15	0.313326831754377	0.046574272445306	0.35990110419968296	0.733438099926743	0.37353699572706006	0.25	-0.203425727554694	eligible	maintained		maintained	0.0031252250489602	0.142419875821856	0.678156593467462	0.844555046915886	0.0010451763510693	0.0170017181937296
IL15	Micro	UP	3.1103504579341	37.4830033240337	True	3.09080181568319	0.771277121204043	3.86207893688723	0.0	3.09080181568319	0.771277121204043	3.86207893688723	0.0	2.21736419508534	0.202490498567686	3.22901876111689	3.09080181568319	0.771277121204043	3.862078936887233	3.86207893688723	-3.1086244689504383e-15	2.21736419508534	0.202490498567686	2.419854693653026	3.22901876111689	0.8091640674638638	1.10868209754267	-0.9061915989749841	eligible	maintained		maintained	3.72301002217969e-10	2.33860874543217e-06	0.0184195722824623	0.261203896301261	1.87359883865827e-15	8.87149050104692e-12
GLT1D1	Micro	DOWN	-1.9221717848356	5.4823296537897	True	-1.95938366851987	0.0972145068727395	-1.86216916164713	0.0	-1.95938366851987	0.0972145068727393	-1.86216916164713	2.2204460492503099e-16	-1.2872286247694	0.008818765214939	-1.35918931987285	1.95938366851987	-0.0972145068727393	1.8621691616471308	1.86216916164713	-6.661338147750939e-16	1.2872286247694	-0.008818765214939	1.278409859554461	1.35918931987285	0.0807794603183889	0.6436143123847	-0.652433077599639	eligible	maintained		maintained	3.36057961702503e-05	0.0117274893690793	0.839399248782545	0.962683765698851	0.0001192577478351	0.0065916587859859
NPC2	Micro	UP	1.38665505587777	43.9449717376241	True	1.40642867189506	-0.135425396569685	1.27100327532538	0.0	1.40642867189506	-0.135425396569685	1.27100327532538	-2.2204460492503099e-16	1.18244828160528	-0.027929050605619	1.07546188235497	1.40642867189506	-0.135425396569685	1.271003275325375	1.27100327532538	4.884981308350689e-15	1.18244828160528	-0.027929050605619	1.154519230999661	1.07546188235497	-0.07905734864469105	0.59122414080264	-0.619153191408259	eligible	maintained		maintained	1.75694214495258e-06	0.0017087150893081	0.574364189968133	0.885734568329703	1.48447403378995e-05	0.0015391936970792
APOC1	Micro	UP	1.89977975958699	71.9025289135162	True	1.9364635670596	0.552404083901082	2.48886765096069	0.0	1.9364635670596	0.552404083901082	2.48886765096069	0.0	1.32634893206429	0.0762113209011173	2.07889747075544	1.9364635670596	0.552404083901082	2.4888676509606817	2.48886765096069	8.43769498715119e-15	1.32634893206429	0.0762113209011173	1.4025602529654073	2.07889747075544	0.6763372177900326	0.663174466032145	-0.5869631451310278	eligible	maintained		maintained	2.03038884268275e-05	0.009447324085416	0.165376571260264	0.608967669870191	3.72610597015142e-08	2.11717341224004e-05
LGALS9	Micro	UP	1.05537385248213	38.1946728043692	True	1.10501755452804	0.0333156992304067	1.13833325375845	0.0	1.10501755452804	0.0333156992304068	1.13833325375845	-2.2204460492503099e-16	0.914260297031991	0.0081044710071015	0.984241749185806	1.10501755452804	0.0333156992304068	1.138333253758447	1.13833325375845	3.1086244689504383e-15	0.914260297031991	0.0081044710071015	0.9223647680390925	0.984241749185806	0.06187698114671347	0.4571301485159955	-0.449025677508894	eligible	maintained		maintained	1.5387919339397e-05	0.0084051491591671	0.866597823767396	0.968401542398166	6.34003244810202e-06	0.000897649556522
SERPINE1	Micro	UP	4.12531249585369	26.547646713781	True	4.22180095023136	0.891991990817179	5.11379294104854	0.0	4.22180095023136	0.891991990817179	5.11379294104854	0.0	1.20743390055891	0.0517101858277824	3.02032341914948	4.22180095023136	0.891991990817179	5.113792941048539	5.11379294104854	8.881784197001252e-16	1.20743390055891	0.0517101858277824	1.2591440863866925	3.02032341914948	1.7611793327627874	0.603716950279455	-0.5520067644516726	eligible	maintained		maintained	1.89646436020676e-05	0.009447324085416	0.219821752351611	0.671711035039717	1.48177755928283e-07	5.23431701718229e-05
LIPG	Micro	UP	2.59731745957228	9.43182473878756	True	2.81787646745906	-0.756084399552698	2.06179206790636	0.0	2.81787646745906	-0.756084399552698	2.06179206790636	0.0	1.36500782415179	-0.0955500535594471	0.990919926338144	2.81787646745906	-0.756084399552698	2.061792067906362	2.06179206790636	-1.7763568394002505e-15	1.36500782415179	-0.0955500535594471	1.2694577705923429	0.990919926338144	-0.2785378442541989	0.682503912075895	-0.7780539656353421	eligible	maintained		maintained	2.55886219310027e-05	0.0102403866023752	0.0975397184687699	0.505800694299115	0.0017166381150641	0.0371095348198944
