celltype,dropped_donor,n_YA,n_HA,log2fc,p
NSC,47,7,9,-1.8109102894400477,0.00017482517482517483
NSC,7,7,9,-1.8399901189764227,0.00017482517482517483
Neuroblast,<none>,8,9,-2.796218749926137,1.0
Neuroblast,11,8,8,-1.4993370427522752,0.7209013209013208
Neuroblast,14,8,8,-2.423257729407183,0.7129894874507409
Neuroblast,15,8,8,-3.173839644353908,0.9580911282267016
Neuroblast,16,8,8,-3.2254488277452733,0.8747345961020656
Neuroblast,2,7,9,-3.0703034004628407,0.9156385717447554
Neuroblast,28,8,8,-3.1685588039464925,0.9580911282267016
Neuroblast,29,7,9,-2.9821921977541077,0.9156385717447554
Neuroblast,30,7,9,-2.8813500936310614,0.9156385717447554
Neuroblast,32,8,8,-3.258799929689836,0.8747345961020656
Neuroblast,35,8,8,-3.4803009546145347,0.792746526993248
Neuroblast,37,8,8,-3.437088774073459,0.792746526993248
Neuroblast,39,7,9,-2.261236208918495,0.6717725291870066
Neuroblast,43,7,9,-2.54834972270927,0.8322175955142874
Neuroblast,44,8,8,-1.4993370427522752,0.7209013209013208
Neuroblast,45,7,9,-2.998320409029562,0.9156385717447554
Neuroblast,47,7,9,-2.7322861932947538,1.0
Neuroblast,7,7,9,-2.8957117736090057,0.9156385717447554
OPC,<none>,8,9,-0.5799246993882199,0.059234882764294526
OPC,11,8,8,-0.6461356657420798,0.037917637917637914
OPC,14,8,8,-0.5370584744768521,0.10489510489510488
OPC,15,8,8,-0.4529626608428101,0.10489510489510488
OPC,16,8,8,-0.5309952163544005,0.10489510489510488
OPC,2,7,9,-0.6170163910714952,0.0548951048951049
OPC,28,8,8,-0.5788319589713198,0.08298368298368297
OPC,29,7,9,-0.5751500296078347,0.11416083916083916
OPC,30,7,9,-0.6641714852524179,0.03111888111888112
OPC,32,8,8,-0.645813868586866,0.037917637917637914
OPC,35,8,8,-0.577117821359376,0.10489510489510488
OPC,37,8,8,-0.6402503437244516,0.037917637917637914
OPC,39,7,9,-0.6454482467568501,0.04178321678321679
OPC,43,7,9,-0.5592901356907025,0.11416083916083916
OPC,44,8,8,-0.6101562844358233,0.04988344988344988
OPC,45,7,9,-0.5339557139440174,0.11416083916083916
OPC,47,7,9,-0.40617062507227253,0.11416083916083916
OPC,7,7,9,-0.6381949677101684,0.04178321678321679
Oligo,<none>,8,9,0.09171172749889789,0.8883587001234061
Oligo,11,8,8,0.13837737090995805,0.7984459984459983
Oligo,14,8,8,0.1415355750573153,0.7984459984459983
Oligo,15,8,8,0.006952767302526919,0.959129759129759
Oligo,16,8,8,0.159757495439121,0.7984459984459983
Oligo,2,7,9,0.1977437929392165,0.6064685314685315
Oligo,28,8,8,0.062227668990487484,0.8784770784770783
Oligo,29,7,9,-0.020986499424644256,0.8370629370629371
Oligo,30,7,9,0.2870749120145313,0.5360139860139861
Oligo,32,8,8,0.01472193271279254,1.0
Oligo,35,8,8,0.1632879090706263,0.7984459984459983
