resolution,subcluster,n,n_donors,assigned,top_score,positive_evidence,unstable,frac_YA,Endo,Pericyte,SMC,VLMC,Ependymal,aEndo,mean_CLDN5,mean_FLT1,mean_PECAM1
0.6,12,12,3,Endo,0.5130925258000691,True,True,0.0,0.5130925258000691,-0.46001413844575817,-0.06300243367751439,-0.287510901927948,-0.08647753318150837,0.48381924536493087,1.2555365562438965,2.3307344913482666,1.827086091041565
0.6,13,21,3,Ependymal,1.3672704897608075,True,True,0.0,0.42850806130303276,0.023578979456730768,-0.07492708602121897,-0.21523420557521641,1.3672704897608075,-0.06543622655764458,1.7671544551849365,2.6825404167175293,0.8400396704673767
0.6,14,10,6,VLMC,0.37170281324386595,True,True,0.8,-0.5909394280910492,-0.31744049540835473,-0.014558831175168357,0.37170281324386595,-0.0722878131866455,0.1696310742298762,0.19892175495624542,0.42691317200660706,0.19892175495624542
1.0,0,62,12,Endo,0.2889560808609891,True,False,0.22580645161290322,0.2889560808609891,0.007893055847319653,-0.00028526253757937733,-0.19343848770856856,0.02444897674745129,-0.07918907790334635,1.4079322814941406,2.0315020084381104,0.8648855686187744
1.0,1,67,8,Endo,1.1470573265872785,True,False,0.373134328358209,1.1470573265872785,-0.22281182427160162,-0.0556200826553563,-0.2942903695462355,-0.11785972235807732,-0.022306970528405693,1.968724250793457,3.2019917964935303,1.3330912590026855
1.0,2,35,9,Endo,0.684492113953545,True,False,0.4,0.684492113953545,0.10964877457617189,-0.00553945812724886,-0.20474366303852626,0.028606079757213593,-0.013252181101413,1.7564316987991333,2.7517454624176025,0.9241884350776672
1.0,3,100,9,Endo,0.973385966237386,True,False,0.13,0.973385966237386,0.5465720299826373,0.4864323616007964,0.20247679217815398,-0.12866714752465488,0.07123208102931579,2.5501315593719482,2.841935634613037,1.611833095550537
1.0,4,10,6,VLMC,0.37170281324386595,True,True,0.8,-0.5909394280910492,-0.31744049540835473,-0.014558831175168357,0.37170281324386595,-0.0722878131866455,0.1696310742298762,0.19892175495624542,0.42691317200660706,0.19892175495624542
1.0,5,73,14,Endo,0.3552373297573769,True,False,0.3150684931506849,0.3552373297573769,0.13230951440505656,-0.04045069976076144,-0.08280447865512273,-0.019572344724446127,-0.025616301817981073,1.3209311962127686,2.242298126220703,0.7533636689186096
1.0,6,72,8,Endo,0.9335390926731958,True,False,0.375,0.9335390926731958,0.9187105728298047,0.11862812205873155,0.35783285399278003,0.020149466312593886,-0.03904973218562427,2.256129741668701,3.2310845851898193,1.2429008483886719
