"tf","celltype","contrast","dz","p","padj"
"PAX9","Astro","HAvYA",0.0353256925547539,0.616276245471017,0.979336604887158
"PKNOX2","Astro","HAvYA",-0.119892985613871,0.440554862417112,0.979336604887158
"POU1F1","Astro","HAvYA",-0.0851795619405356,0.495031043127045,0.979336604887158
"POU2F1","Astro","HAvYA",-0.1383580048687,0.226549110500324,0.979336604887158
"POU3F1","Astro","HAvYA",-0.132436855033499,0.239241383565893,0.979336604887158
"POU3F2","Astro","HAvYA",-0.12715387475276,0.263861310860894,0.979336604887158
"POU3F3","Astro","HAvYA",-0.0689671262824223,0.562917999247634,0.979336604887158
"POU3F4","Astro","HAvYA",-0.151893284135064,0.174275093531863,0.979336604887158
"POU4F1","Astro","HAvYA",-0.083352029568167,0.454715068387805,0.979336604887158
"POU4F3","Astro","HAvYA",-0.0981097590466121,0.389635573160951,0.979336604887158
"POU5F1B","Astro","HAvYA",-0.148024710781192,0.162420607643309,0.979336604887158
"POU6F2","Astro","HAvYA",-0.148839968385356,0.451344035916776,0.979336604887158
"PROX1","Astro","HAvYA",0.0154365502179125,0.837609586950198,0.988226009019425
"RFX2","Astro","HAvYA",0.290577070690099,0.115740733342315,0.979336604887158
"SMAD3","Astro","HAvYA",-0.0452772052012497,0.56343584690275,0.979336604887158
"TGIF1","Astro","HAvYA",-0.0637218218787353,0.616296019472911,0.979336604887158
"TGIF2","Astro","HAvYA",-0.0601638474813273,0.644071963774232,0.979336604887158
"RFX4","Astro","HAvYA",0.320306693127939,0.0775131463949436,0.979336604887158
"RFX5","Astro","HAvYA",0.302338906525196,0.118100818147789,0.979336604887158
"RUNX2","Astro","HAvYA",-0.000273341395043508,0.996360206043212,0.997936725356572
"EOMES","Astro","HAvYA",-0.00826197712262261,0.941537501649601,0.995976016570843
"MGA","Astro","HAvYA",-0.051506770983666,0.702587999479099,0.979336604887158
"TBR1","Astro","HAvYA",-0.0424722195601022,0.712542804999771,0.979336604887158
"TBX15","Astro","HAvYA",-0.051506770983666,0.702587999479099,0.979336604887158
"TBX19","Astro","HAvYA",-0.106190888048328,0.204723445366093,0.979336604887158
"TBX1","Astro","HAvYA",-0.0465597668205092,0.664466875366366,0.979336604887158
"TBX4","Astro","HAvYA",-0.0651282947801115,0.657979714841319,0.979336604887158
"TBX5","Astro","HAvYA",-0.0651282947801115,0.657979714841319,0.979336604887158
"TEAD3","Astro","HAvYA",0.170915163213116,0.122896763651748,0.979336604887158
"TFAP2A(var.2)","Astro","HAvYA",-0.0289870947931321,0.822097212340055,0.981315537512654
"TFAP2B","Astro","HAvYA",-0.0675880597979155,0.612395111694235,0.979336604887158
