"motif","tf","celltype","dz","p","padj"
"MA1120.1","SOX13","Astro",-0.0488965055334092,0.276593994241053,1
"MA1121.1","TEAD2","Astro",0.151841571928315,0.16717400246812,1
"MA1122.1","TFDP1","Astro",0.00535711628655167,0.888358700123406,1
"MA0750.2","ZBTB7A","Astro",-0.118135346080641,0.235870012340601,1
"MA0103.3","ZEB1","Astro",-0.032134117579237,0.742986425339367,1
"MA1124.1","ZNF24","Astro",-0.0549820787799153,0.605841217605923,1
"MA1125.1","ZNF384","Astro",0.23902369038214,0.16717400246812,1
"MA1154.1","ZNF282","Astro",-0.0112320121258107,0.672974084738791,1
"MA1155.1","ZSCAN4","Astro",-0.0992239780467343,0.16717400246812,1
"MA0037.3","GATA3","Astro",-0.114752986165275,0.276593994241053,1
"MA0099.3","FOS::JUN","Astro",0.716134820459906,0.605841217605923,1
"MA1126.1","FOS::JUN(var.2)","Astro",0.139012930613508,0.480707527766351,1
"MA1127.1","FOSB::JUN","Astro",0.108986452367789,0.742986425339367,1
"MA1128.1","FOSL1::JUN","Astro",0.724554916475837,0.605841217605923,1
"MA1129.1","FOSL1::JUN(var.2)","Astro",0.145123842248514,0.480707527766351,1
"MA1130.1","FOSL2::JUN","Astro",0.712739593205627,0.605841217605923,1
"MA1131.1","FOSL2::JUN(var.2)","Astro",0.140823837332941,0.672974084738791,1
"MA1132.1","JUN::JUNB","Astro",0.571043144889908,0.672974084738791,1
"MA1133.1","JUN::JUNB(var.2)","Astro",0.145587258551094,0.541423282599753,1
"MA1134.1","FOS::JUNB","Astro",0.687266164438633,0.605841217605923,1
"MA1135.1","FOSB::JUNB","Astro",0.68497427384728,0.605841217605923,1
"MA1136.1","FOSB::JUNB(var.2)","Astro",0.125192508829131,0.742986425339367,1
"MA1137.1","FOSL1::JUNB","Astro",0.666733559834934,0.672974084738791,1
"MA1138.1","FOSL2::JUNB","Astro",0.68005927197628,0.605841217605923,1
"MA1139.1","FOSL2::JUNB(var.2)","Astro",0.129220364041143,0.605841217605923,1
"MA1141.1","FOS::JUND","Astro",0.74946038548163,0.605841217605923,1
"MA1142.1","FOSL1::JUND","Astro",0.62458639581307,0.742986425339367,1
"MA1143.1","FOSL1::JUND(var.2)","Astro",0.114845224390114,0.814808720691074,1
"MA1144.1","FOSL2::JUND","Astro",0.672056908981031,0.672974084738791,1
"MA1145.1","FOSL2::JUND(var.2)","Astro",0.092067706648477,0.814808720691074,1
"MA1146.1","NR1H4::RXRA","Astro",-0.0246523924776405,0.814808720691074,1
"MA1147.1","NR4A2::RXRA","Astro",-0.0525485604435073,0.4234471410942,1
"MA1148.1","PPARA::RXRA","Astro",0.0229302308303045,0.962566844919786,1
"MA1149.1","RARA::RXRG","Astro",-0.0446246980999198,0.541423282599753,1
"MA1150.1","RORB","Astro",-0.0779004516114892,0.4234471410942,1
"MA1151.1","RORC","Astro",-0.12159684728192,0.541423282599753,1
"MA1152.1","SOX15","Astro",0.148934603501953,0.370382558617853,1
"MA0831.2","TFE3","Astro",0.14072109179106,0.370382558617853,1
"MA0693.2","VDR","Astro",0.0471966682518301,0.742986425339367,1
"MA1418.1","IRF3","Astro",0.0990577327018318,0.321266968325792,1
"MA1419.1","IRF4","Astro",0.0912299376504341,0.541423282599753,1
"MA1420.1","IRF5","Astro",0.0369963969181101,0.605841217605923,1
"MA1421.1","TCF7L1","Astro",0.0106425815043841,0.962566844919786,1
"MA1463.1","ARGFX","Astro",-0.107716771894039,0.814808720691074,1
"MA1464.1","ARNT2","Astro",0.0291901355870347,0.672974084738791,1
