cohort	celltype	perm	labels	n_sig_fdr005	n_sig_fdr01	n_sig_secretome_fdr005	n_sig_secretome_fdr01
GSE268609	Oligo	83	01010010101100111	0	1	0	0
GSE268609	Oligo	84	01011000001011111	11	16	1	1
GSE268609	Oligo	85	10101101111100000	167	345	18	28
GSE268609	Oligo	86	11111101001000001	1056	1798	70	130
GSE268609	Oligo	87	01110111000101010	0	0	0	0
GSE268609	Oligo	88	11110011111000000	364	898	23	51
GSE268609	Oligo	89	10001110111010100	0	0	0	0
GSE268609	Oligo	90	11110100001010011	0	1	0	0
GSE268609	Oligo	91	11111111000000100	13	49	0	6
GSE268609	Oligo	92	01110010011110001	89	179	1	3
GSE268609	Oligo	93	01010011011110001	19	36	1	1
GSE268609	Oligo	94	00100101110110101	0	0	0	0
GSE268609	Oligo	95	01010100110110011	0	2	0	0
GSE268609	Oligo	96	11001010100111001	27	48	1	1
GSE268609	Oligo	97	00101111010100110	0	0	0	0
GSE268609	Oligo	98	11101001111001000	39	96	4	8
GSE268609	Oligo	99	00011010111001110	0	0	0	0
GSE268609	OPC	0	10101110001001110	0	0	0	0
GSE268609	OPC	1	11100011110100100	0	0	0	0
GSE268609	OPC	2	11001011001110100	0	3	0	1
GSE268609	OPC	3	00100101110011101	0	0	0	0
GSE268609	OPC	4	10001011001010111	21	29	1	2
GSE268609	OPC	5	00011111111000100	3	4	0	0
GSE268609	OPC	6	10101110011010100	0	0	0	0
GSE268609	OPC	7	11110010110010001	0	0	0	0
GSE268609	OPC	8	01010010011101110	0	0	0	0
GSE268609	OPC	9	00111000010011111	0	0	0	0
GSE268609	OPC	10	01101001001011101	3	6	0	0
GSE268609	OPC	11	01001111101011000	0	1	0	0
GSE268609	OPC	12	00101011011001101	0	1	0	0
GSE268609	OPC	13	01110010010011110	0	0	0	0
GSE268609	OPC	14	10110101001101010	0	0	0	0
GSE268609	OPC	15	00011111011010100	1	1	0	0
GSE268609	OPC	16	10110100100011011	1	1	0	0
GSE268609	OPC	17	01001110010110101	0	0	0	0
GSE268609	OPC	18	10011001110001101	0	0	0	0
GSE268609	OPC	19	01010110010101110	0	0	0	0
GSE268609	OPC	20	11010001100101110	0	0	0	0
GSE268609	OPC	21	01011110110101000	0	0	0	0
GSE268609	OPC	22	01001001001111110	2	2	0	0
GSE268609	OPC	23	11111010100000011	0	0	0	0
GSE268609	OPC	24	11110010011101000	0	0	0	0
